Placeholder Text Placeholder Text Placeholder Text Placeholder	[Заглушка]
Refund.	Возвращать деньги.
I've seen countless ordinary pocket watches like this on the streets of the capital; the style is too old and lacks any novelty.	Таких обычных карманных часов я видел бесчисленное множество на улицах столицы; стиль слишком стар и лишен какой-либо новизны.
Station quantity <DarkHighlight> = 2</>	Количество станций <DarkHighlight> = 2</>
Object of Phenomenon-1	Объект Феномена-1
Damn, what's going on now?	Блин, что сейчас происходит?
Outfit Name	Название наряда
SAN is down to 10, what do I do?	SAN упал до 10, что мне делать?
[Azure Dragon Seven Chars]	[Семь символов]
Navigator Navigator	Навигатор Навигатор
The spiritual traces have weakened here; let's divine again.	Духовные следы здесь ослабли; давайте еще раз угадаем.
You can also claim all previous rewards on the final day of check-in.	Вы также можете получить все предыдущие награды в последний день регистрации.
Custom List Seven Characters	Пользовательский список семи символов
Piece Data Details	Детали данных части
We still need to talk about what we just discussed.	Нам еще нужно поговорить о том, что мы только что обсудили.
Strategy name seven characters	Название стратегии: семь персонажей
Commercial Station	Коммерческая станция
<highLight>Available at Level 60</>	<highLight>Доступно на уровне 60</>
Looking to be abused.	Ищу, чтобы подвергнуться насилию.
Gifted Rose x10	Одаренная роза x10
Custom Preset Three Three	Пользовательская предустановка Три Три
<Underline>Small monster</> kill probability drop	<Underline>Маленький монстр</> Снижение вероятности убийства
Invincible	Непобедимый
Level 4 military rank is the church and military system, father warned where to live, Level 4 military rank is the church and military system, father warned where to live	Воинское звание 4 уровня - церковь и военная система, отец предупредил, где жить, Воинское звание 4 уровня - церковь и военная система, отец предупредил, где жить
Okay, thank you, Miss Justice.	Хорошо, спасибо, мисс Джастис.
To make this play even more outstanding, I am willing to take some risks and quietly add a few "exclusive tips" for you.	Чтобы сделать эту игру еще более выдающейся, я готов пойти на некоторый риск и незаметно добавить для вас несколько «эксклюзивных советов».
Stop fighting.	Перестаньте бороться.
Let's wait for him here for a bit.	Давайте подождем его здесь немного.
Hold our respective territories.	Удерживайте наши территории.
Under review...	На рассмотрении...
@Yuan Qi, guild war declaration tonight at 11 PM, don't be late, don't avoid the fight.	@Юань Ци, сегодня в 23:00 объявляю войну гильдии, не опаздывай, не избегай боя.
Book of June is attempting to awaken you from the Subconscious Ocean. Do you accept?	Книга июня пытается пробудить вас от океана подсознания. Вы принимаете?
The Declared Party	Заявленная сторона
Please select the marionette to send on a journey.	Пожалуйста, выберите марионетку, чтобы отправить ее в путешествие.
Choose your bullet; I will mercifully take away a fake one.	Выберите свою пулю; Я милостиво заберу подделку.
Alright, let's leave here.	Ладно, оставим здесь.
Text text text text text text text text text text text	Текст текст текст текст текст
Why did two people die as soon as we came out?	Почему два человека умерли, как только мы вышли?
2/100 items	2/100 шт.
Admiration?	Восхищение?
New... era...	Новая... эпоха...
Exchange Rate (Gold Pound/soli)	Обменный курс (золотой фунт/соли)
Legacy Heir	Наследник Наследия
Detected members cannot use the microphone or send messages in the room	Обнаруженные участники не могут использовать микрофон или отправлять сообщения в комнате.
Declaration time	Время объявления
Spectator Count	Количество зрителей
Excited Villager	Взволнованный сельский житель
The pendulum rotates rapidly clockwise; fate reveals a very certain answer for Dream Soul First to Lay Down. May this journey go smoothly!	Маятник быстро вращается по часовой стрелке; судьба дает очень определенный ответ на вопрос «Душа мечты первой ложится». Пусть это путешествие пройдет гладко!
Knowledge changes fate; keep up with Emperor Roselle's revolutionary rhythm!	Знание меняет судьбу; не отставайте от революционного ритма императора Розелле!
<P_Heart>Candle flames</> hang upside down in the land of no light, <P_Yellow>Tarot cards</> <P_Red>foreshadow</> in reverse. <P_Heart>Candle flames</> hang upside down in the land of no light, <P_Yellow>Tarot cards</> <P_Red>foreshadow</> in reverse. <P_Heart>Candle flames</> hang upside down in the land of no light, <P_Yellow>Tarot cards</> <P_Red>foreshadow</> in reverse. <P_Heart>Candle flames</> hang upside down in the land of no light, <P_Yellow>Tarot cards</> <P_Red>foreshadow</> in reverse. <P_Heart>Candle flames</> hang upside down in the land of no light, <P_Yellow>Tarot cards</> <P_Red>foreshadow</> in reverse. <P_Heart>Candle flames</> hang upside down in the land of no light, <P_Yellow>Tarot cards</> <P_Red>foreshadow</> in reverse.	<P_Heart>Пламя свечей</> висит вверх тормашками в стране без света, <P_Yellow>Карты Таро</> <P_Red>предвестие</> в перевернутом виде. <P_Heart>Пламя свечей</> висит вверх тормашками в стране без света, <P_Yellow>Карты Таро</> <P_Red>предвестие</> в перевернутом виде. <P_Heart>Пламя свечей</> висит вверх тормашками в стране без света, <P_Yellow>Карты Таро</> <P_Red>предвестие</> в перевернутом виде. <P_Heart>Пламя свечей</> висит вверх тормашками в стране без света, <P_Yellow>Карты Таро</> <P_Red>предвестие</> в перевернутом виде. <P_Heart>Пламя свечей</> висит вверх тормашками в стране без света, <P_Yellow>Карты Таро</> <P_Red>предвестие</> в перевернутом виде. <P_Heart>Пламя свечей</> висит вверх тормашками в стране без света, <P_Yellow>Карты Таро</> <P_Red>предвестие</> в перевернутом виде.
Why is no one digging me, am I not on the list	Почему меня никто не копает, меня нет в списке
999 Victory Points	999 победных очков
No newly established clubs yet	Вновь созданных клубов пока нет.
Prerequisite seven characters	Необходимое условие семь символов
You can open [Menu] - [TRPG] - [Fun Gameplay] to review the tutorial	Вы можете открыть [Меню] - [TRPG] - [Забавный игровой процесс], чтобы просмотреть руководство.
Go to the dungeon [May Manor · Garden] and defeat the <HyperLink stylename="h" u="1250308"> Alienated Hound </>.	Отправляйтесь в подземелье [Майское поместье · Сад] и победите <HyperLink stylename="h" u="1250308"> Чужую гончую </>.
You've lost all your points!	Вы потеряли все свои очки!
Rewards for challenging Offspring Protection again; you can obtain corresponding Equipment, Beyonder material, and marionette fragment rewards.	Награды за повторный вызов «Защиты потомства»; вы можете получить соответствующее оборудование, материалы Потусторонний и фрагменты марионеток.
Why can't I get down?	Почему я не могу спуститься?
Theoretically, dungeon gear can also carry 8.5+.	Теоретически снаряжение для подземелий также может иметь уровень 8,5+.
Go to spectate	Перейти к просмотру
John Mystery-3	Джон Мистери-3
Registration opens September 21	Регистрация откроется 21 сентября.
Are you ready	Вы готовы
This is having an in-depth exchange with you.	Это углубленный обмен мнениями с вами.
3-win streak	серия из 3 побед
Occupied by Blood Emperor forces	Оккупирован силами Кровавого Императора.
My Response	Мой ответ
