ID	CN	EN	RU_TRANSLATION
1751	东安全区trigger	East Safe Zone trigger	
1752	丢失塔罗牌的占卜师	Diviner who lost Tarot cards	
1753	丢蛋糕技能ui提示	Throw Cake skill UI prompt	
1754	两件套\r\n进入战斗时,为自身增加400点格挡,持续3秒	2-piece set\nUpon entering combat, gain 400 points of Block for 3 seconds.	
1755	两侧石碑均占领，可攻击城门	Both stone tablets captured, you can attack the city gate	
1756	两把大剑收集完毕，可以去探查城堡·归一之庭了，或许那里有回归现实的方法。（提示：乘上滑轨，快速抵达城堡门前。）	Both greatswords have been collected. You can now go to investigate the Castle of the Court of Convergence; perhaps there is a way to return to reality there. (Hint: Board the rail to reach the castle gate quickly.)	
1757	两次攻击的范围必定不相同，<Highlight>观察初始攻击的范围提示</>并移动闪避。	The ranges of the two attacks will definitely not be the same. <Highlight>Observe the initial attack range prompt</> and move to dodge.	
1758	两次放置光环的最小移动距离	Minimum Movement Distance Between Two Aura Placements	
1759	严打乱排废水	Strictly prohibit illegal wastewater discharge	
1760	丧尸特效buff	Zombie effect buff	
1761	丧钟：弱点攻击按钮	Death Knell: Weakness attack button	
1762	丧钟：眩晕	Death Knell: Stun	
1763	个人得分buff	Personal Score buff	
1764	个人持有能量：%s	Personal energy held: %s	
1765	中心区域额外造成33%的伤害。	The central area deals an additional 33% damage.	
1766	中断仪式	Interrupted Ritual	
1767	中断仪式成功	Ritual successfully interrupted	
1768	中毒	Poisoned	
1769	中毒·I	Poisoned · I	
1770	中毒男子	Poisoned Man	
1771	中距离连续发射魅影能量弹打击目标。	Fire a continuous stream of phantom energy missiles at the target from medium range.	
1772	中锋之志：伤害增幅+15%，最大生命值+25%。	Center's Ambition: Damage Boost +15%, maximum Health +25%.	
1773	中间trigger和滑轨	Middle trigger and slide rail	
1774	丰收、富饶、生机勃勃。持有一段时间后背负诅咒，你死去时原地长出活化土地，为友方持续回血、提升攻击并免疫控制。但土地存在期间，你无法复活。	Harvest, richness, and vitality. After holding it for a period of time, you bear a Curse; when you die, activated land grows on the spot, continuously healing teammates, increasing Attack, and granting immunity to control. But while the land exists, you cannot be Resurrected.	
1775	丰盛的大份营养面包，经由特殊的仪式焙烤而成，为您提供澎湃的生命力！	A hearty, large portion of nutritious bread, baked through a special ritual to provide you with surging vitality!	
1776	丰饶之树_5200139_德鲁伊_筛选攻击信号A	Tree of Abundance_5200139_Druid_Filter Attack Signal A	
1777	丰饶之树_5200139_德鲁伊_筛选攻击信号B	Tree of Abundance_5200139_Druid_Filter Attack Signal B	
