CN	EN
%i级解锁	Unlocked at Level %i
不老	Ageless
医师	Physician
卷轴教授	Scrolls Professor
堕落伯爵	Fallen Earl
天文学家	Astronomer
安魂师	Soul Assurer
寄生者	Parasite
巫师	Warlock
德鲁伊	Druid
恶魔	Demon
惩戒骑士	Disciplinary Paladin
暴怒之民	Raging Blow
末日	Doomsday
格斗学者	Melee Scholar
欲望使徒	Apostle of Desire
武力	Might
水银之蛇	Mercury Snake
洞悉者	Discernor
深红学者	Scholar of Crimson
混乱导师	Mentor of Confusion
灾难	Calamity
生物学家	Biologist
疯子	Madman
痛苦	Agony
织梦人	Dream Weaver
航海家	Navigater
贿赂者	Briar Bishop
连环杀手	Serial Killer
铁血骑士	Iron-Blooded Knight
随机获得2-4个词条	Grants 2-4 Random Affixes
魔药教授	Potion Professor
