Id	CN	EN	RU
1	%时	%	%
2	你\r\n接\r\n下\r\n来\r\n的\r\n表\r\n现	Your \r\n per\r\nfor\r\nman\r\nce \r\nnext\r\n	Your \r\n per\r\nfor\r\nman\r\nce \r\nnext\r\n
3	1时15分26秒	01:15:26	01:15:bb
4	请好好地\r\n跟着我	Please follow me\r\nclosely.	Please follow me\r\nclosely.
5	2025年6月15日 02:26	2025/06/15 02:26	2025/06/15 02:26
6	%.1f万	%.1f0,000	%.1f0 000
7	好好\r\n看清楚	Look\r\ncarefully	Look\r\ncarefully
8	2024年03月09	2024/03/09	09.03.2024
9	接\r\n下\r\n来	Next\r\n	Next\r\n
10	金狼就在那里举行集会。	The Golden Wolf is holding a gathering there.	The Golden Wolf is holding a gathering there.
11	2025年7月30日	2025/07/30	2025/07/30
12	歌曲名字歌曲名字	Song Name Song Name	Song Name Song Name
13	这起案件还有疑点，或许该问问最熟悉这些人的男爵夫人。	There are still doubts about this case; perhaps I should ask the Baroness who is most familiar with these people.	There are still doubts about this case; perhaps I should ask the Baroness who is most familiar with these people.
14	可获得30个<Highlight>金纺线</>、15个<Highlight>齿轮火漆·竞技</>	Can obtain 30 <Highlight> Gold Thread </>, 15 <Highlight> Gear Sealing Wax - Competition </>	Can obtain 30 <Highlight> Gold Thread </>, 15 <Highlight> Gear Sealing Wax - Competition </>
15	当前评分	Current rating	Current rating
16	因为当时第1把我没带手杖	Because I didn't bring my cane in the first round.	Because I didn't bring my cane in the first round.
17	红色的部位……是它们的帽子！	The red part... is their hat!	The red part... is their hat!
18	来来来	Come, come, come.	Come, come, come.
19	概率获得神赐时装， 坐骑	Chance to obtain God-given fashion, mount	Chance to obtain God-given fashion, mount
20	试着借助歌声找到正确的路……	Trying to find the right path with the help of the singing...	Trying to find the right path with the help of the singing...
21	谢谢，我要找保罗先生。	Thank you, I am looking for Mr. Paul.	Thank you, I am looking for Mr. Paul.
22	人物小传（一）	Character Biography (I)	Character Biography (I)
23	解锁条件解锁条件解锁	Unlock Condition Unlock Condition Unlock	Unlock Condition Unlock Condition Unlock
24	公示期00小时00分钟	Publicity Period 00 hours 00 minutes	Publicity Period 00 hours 00 minutes
25	7天后解锁	Unlocks in 7 days	Unlocks in 7 days
26	服务器选择	Server Selection	Server Selection
27	粘贴口令	Paste Code	Paste Code
28	剧本内累计获得10000/30000积分解锁	Unlock by accumulating 10000/30000 points within the script	Unlock by accumulating 10000/30000 points within the script
29	评分：987	Rating: 987	Rating: 987
30	传送中 0.5	Teleporting 0.5	Teleporting 0.5
31	言语若无诚意支撑，不过是裹着糖衣的谎言。	Words without sincerity are nothing more than sugar-coated lies.	Words without sincerity are nothing more than sugar-coated lies.
32	记住！每一次精准的斩击都在为你创造下一次进攻的契机。	Remember! Every precise slash is creating an opportunity for your next attack.	Remember! Every precise slash is creating an opportunity for your next attack.
33	失踪者可能携带铜镜\r\n路过三个入口地点 被隐藏踪迹后\r\n被知识皇冠瓦解消散而失踪	The missing person may be carrying a bronze mirror.\r\nAfter passing through three entry points and having their tracks concealed,\r\nthey were dissolved and vanished by the Crown of Knowledge.	The missing person may be carrying a bronze mirror.\r\nAfter passing through three entry points and having their tracks concealed,\r\nthey were dissolved and vanished by the Crown of Knowledge.
34	我带个假灯	I'm carrying a fake lamp.	I'm carrying a fake lamp.
35	一页纸的最大容纳字数为30字能写1-2句话即可	The maximum capacity for a page is 30 characters; 1-2 sentences are sufficient.	The maximum capacity for a page is 30 characters; 1-2 sentences are sufficient.
36	值夜者巡	Nighthawk Patrol	Nighthawk Patrol
37	顺序\r\n必将失控	Sequence\r\nWill inevitably lead to loss of control	Sequence\r\nWill inevitably lead to loss of control
38	当前已选择 <Yellow>7</>/140	Currently selected <Yellow>7</>/140	Currently selected <Yellow>7</>/140
39	好奇怪的地方，前面似乎有什么在吸引我	Strange place, something ahead seems to be attracting me	Strange place, something ahead seems to be attracting me
40	好好珍惜吧！这份大奖，可来之不易哦~	Cherish it! This grand prize didn't come easily~	Cherish it! This grand prize didn't come easily~
41	差<GapHighlight>6000分</>可达到<GapHighlight>站点新贵</>	<GapHighlight>6000 points</> away from <GapHighlight>Station Upstart</>	<GapHighlight>6000 points</> away from <GapHighlight>Station Upstart</>
42	这个方向，我比较熟悉。	I am quite familiar with this direction.	I am quite familiar with this direction.
43	（本局剩余2次）	(2 uses remaining this match)	(2 uses remaining this match)
44	(4站内)	(4 in station)	(4 in station)
45	这么多人都消散了？他们……真的没救了吗？	So many people have dissipated? Are they... really beyond saving?	So many people have dissipated? Are they... really beyond saving?
46	对不起，我不会说中文	Sorry, I don't speak Chinese.	Sorry, I don't speak Chinese.
47	对战详情	Battle details	Battle details
48	笑得好难受	Laughing so uncomfortably.	Laughing so uncomfortably.
49	我拉着她的手走开了，\r\n她也没有拒绝。	I took her hand and walked away,\r\nand she did not refuse.	I took her hand and walked away,\r\nand she did not refuse.
50	第%s名	No. %s	№ %s
51	歌颂只能自食其力<img id=\"#022\" width=\"28\" height=\"28\" valign=\"0.5\"/>	Singing can only rely on oneself <img id=\"#022\" width=\"28\" height=\"28\" valign=\"0.5\"/>	Singing can only rely on oneself <img id=\"#022\" width=\"28\" height=\"28\" valign=\"0.5\"/>
