CN	EN
san只剩10了，怎么办	SAN is down to 10, what do I do?
商业站	Commercial Station
在这里稍微等一下他吧。	Let's wait for him here for a bit.
好了，离开这里吧。	Alright, let's leave here.
兴奋的村民	Excited Villager
可打开【菜单】-【跑团】-【趣味玩法】回看教程	You can open [Menu] - [TRPG] - [Fun Gameplay] to review the tutorial
约翰诡秘-3	John Mystery-3
负面效果文案负面效果文案负面效果文案负面效果文案负面效果文案负面效果文案负面效果文案负面效果文案负面效果文案负面效果文案负面效果文案	Negative effect description negative effect description negative effect description negative effect description negative effect description negative effect description negative effect description negative effect description negative effect description negative effect description negative effect description
6天前	6 days ago
大家快看，主教大人来了！	Look everyone, the Bishop is here!
好险，但这里似乎也不安全……	That was close, but it doesn't seem safe here either...
幸运值满时,能获得金色六星秘偶。	When Luck is full, you can obtain a gold six-star marionette.
汇集锚点已结束	Gathering Anchors has ended.
阿蜜莉雅·富勒-2	Amelia Fuller-2
奥黛霍猎人小队	Audrey Hunter Squad
封印物质详情	Sealed Artifact details
平均等阶	Average Grade
来吧，尊贵的……来拥抱新生吧。	Come, honorable one... come and embrace the new life.
算了，不串了，愿学徒们找到能保护你们正常输出的人	Forget it, not skewering anymore, may the Apprentices find someone who can protect your normal output.
技能流派	Skill School
本剧评分	This play's rating
查看奖励	View Rewards
这把枪，也许能搭配猎魔子弹使用……让它继续守护廷根市民。	This gun might be able to be used with Demon Hunter Bullets... let it continue to guard the citizens of Tingen.
掌握占星术、卡牌掌握占星术、卡牌掌握占星术、卡牌	Master Astrology, Card Master Astrology, Card Master Astrology, Card
约翰诡秘-2	John Mystery-2
任务描述名称	Quest description name
966.8万	9.668 million
本次聚合不会生成置灰的易变词条本次聚合不会生成置灰的易变词条本次聚合不会生成置灰的易变词	This fusion will not generate grayed-out volatile entries. This fusion will not generate grayed-out volatile entries. This fusion will not generate grayed-out volatile ent
选择相对空闲，请选择服务器	Selection is relatively free, please choose a server
数量（个）：    10	Quantity:    10
暂未关注玩家，推荐以下作者	Not following any players yet, recommending the following authors
你们聊吧，我有个问题找哈文。	You guys chat, I have a question for Haven.
丫人-1	Ya Ren-1
已助力<Champion_H>20</>票	Supported with <Champion_H>20</> votes
摩根先生还没来吗？	Has Mr. Morgan not arrived yet?
点击前往召唤秘偶	Click to go and summon a marionette
你多少秒无敌啊	How many seconds of Invincibility do you have?
埃文先生似乎相当负责。	Mr. Evan seems quite responsible.
来接受丰收的恩赐吧	Come and accept the gift of the Harvest.
玩家名称玩家名称玩家名称玩家名称玩家名称玩家名称玩家名称玩家名称玩家名称玩家名称玩家名称玩家名称玩家名称玩家名称玩家名称玩家名称玩家名称玩家名称玩家名称	Player Name Player Name Player Name Player Name Player Name Player Name Player Name Player Name Player Name Player Name Player Name Player Name Player Name Player Name Player Name Player Name Player Name Player Name Player Name
真可惜，居然没上当，那就告诉你真正的宝箱在哪里好了。	What a pity, you didn't fall for it. Then I'll tell you where the real treasure chest is.
招财猫 has bid	Lucky Cat has bid
沐子小魚	Mu Zi Xiao Yu
礼金金额：	Gift Amount:
零伤害	Zero damage.
当前视角	Current perspective
根据递进原则，本俱乐部向前递补晋级，晋级至神话组第一名预留文本预留文本预留文本	According to the progression principle, this Club will advance to the next stage, advancing to the first place of the Mythical Group Reserved Text Reserved Text Reserved Text
视线跟随	Follow View
<P_Heart>（高声喊叫）</>金狼已经被我制服！值夜者马上就到！	<P_Heart>(Shouting loudly)</> The Golden Wolf has been subdued by me! The Nighthawks will be here soon!
升级需消耗家园币：<Moleculus>10000</>/500000	Upgrade requires Manor Coins: <Moleculus>10000</>/500000
嗯，副本装	Yeah, Dungeon gear.
奔波了一整天，又累又饿……	Been running around all day, tired and hungry...
暂不接受委托	Not accepting commissions for now
没有激活并获得神的恩赐	God's favor not activated and obtained
加好友下次打吧下机了	Add me as a friend and let's play next time; I'm logging off.
