Id	CN	EN	RU_Old	RU_New
1	%时	%	%	%
2	你\r\n接\r\n下\r\n来\r\n的\r\n表\r\n现	Your \r\n per\r\nfor\r\nman\r\nce \r\nnext\r\n	Your \r\n per\r\nfor\r\nman\r\nce \r\nnext\r\n	Твоё\r\nследующее\r\nвыступление
3	1时15分26秒	01:15:26	01:15:bb	01:15:26
4	请好好地\r\n跟着我	Please follow me\r\nclosely.	Please follow me\r\nclosely.	Пожалуйста, следуй\r\nза мной неотступно.
5	2025年6月15日 02:26	2025/06/15 02:26	2025/06/15 02:26	15.06.2025 02:26
6	%.1f万	%.1f0,000	%.1f0 000	%.1f0 000
7	好好\r\n看清楚	Look\r\ncarefully	Look\r\ncarefully	Смотри\r\nвнимательно
8	2024年03月09	2024/03/09	09.03.2024	09.03.2024
9	接\r\n下\r\n来	Next\r\n	Next\r\n	Далее\r\n
10	金狼就在那里举行集会。	The Golden Wolf is holding a gathering there.	The Golden Wolf is holding a gathering there.	Золотой Волк проводит там собрание.
11	2025年7月30日	2025/07/30	2025/07/30	30.07.2025
12	歌曲名字歌曲名字	Song Name Song Name	Song Name Song Name	Название песни Название песни
13	这起案件还有疑点，或许该问问最熟悉这些人的男爵夫人。	There are still doubts about this case; perhaps I should ask the Baroness who is most familiar with these people.	There are still doubts about this case; perhaps I should ask the Baroness who is most familiar with these people.	В этом деле всё ещё есть неясности; пожалуй, стоит расспросить баронессу, которая ближе всего знала этих людей.
14	可获得30个<Highlight>金纺线</>、15个<Highlight>齿轮火漆·竞技</>	Can obtain 30 <Highlight> Gold Thread </>, 15 <Highlight> Gear Sealing Wax - Competition </>	Can obtain 30 <Highlight> Gold Thread </>, 15 <Highlight> Gear Sealing Wax - Competition </>	Можно получить 30 <Highlight> Золотых нитей </>, 15 <Highlight> Шестерёнчатого сургуча (Состязание) </>
15	当前评分	Current rating	Current rating	Текущий рейтинг
16	因为当时第1把我没带手杖	Because I didn't bring my cane in the first round.	Because I didn't bring my cane in the first round.	Потому что в первом раунде я не взял с собой трость.
17	红色的部位……是它们的帽子！	The red part... is their hat!	The red part... is their hat!	Красная часть... это их шляпы!
18	来来来	Come, come, come.	Come, come, come.	Идём, идём, скорее.
19	概率获得神赐时装， 坐骑	Chance to obtain God-given fashion, mount	Chance to obtain God-given fashion, mount	Шанс получить благословенный наряд, ездовое животное
20	试着借助歌声找到正确的路……	Trying to find the right path with the help of the singing...	Trying to find the right path with the help of the singing...	Попробовать найти верный путь, следуя за пением...
21	谢谢，我要找保罗先生。	Thank you, I am looking for Mr. Paul.	Thank you, I am looking for Mr. Paul.	Спасибо, я ищу мистера Пола.
22	人物小传（一）	Character Biography (I)	Character Biography (I)	Краткая биография (I)
23	解锁条件解锁条件解锁	Unlock Condition Unlock Condition Unlock	Unlock Condition Unlock Condition Unlock	Условие открытия Условие открытия Открыть
24	公示期00小时00分钟	Publicity Period 00 hours 00 minutes	Publicity Period 00 hours 00 minutes	Период огласки: 00 ч. 00 мин.
25	7天后解锁	Unlocks in 7 days	Unlocks in 7 days	Откроется через 7 дней
26	服务器选择	Server Selection	Server Selection	Выбор сервера
27	粘贴口令	Paste Code	Paste Code	Вставить пароль
28	剧本内累计获得10000/30000积分解锁	Unlock by accumulating 10000/30000 points within the script	Unlock by accumulating 10000/30000 points within the script	Наберите суммарно 10 000/30 000 очков в сценарии для открытия
29	评分：987	Rating: 987	Rating: 987	Рейтинг: 987
30	传送中 0.5	Teleporting 0.5	Teleporting 0.5	Телепортация: 0.5 сек.
31	言语若无诚意支撑，不过是裹着糖衣的谎言。	Words without sincerity are nothing more than sugar-coated lies.	Words without sincerity are nothing more than sugar-coated lies.	Слова без искренности — лишь подслащённая ложь.
