CN	EN
\n　　一想到你要独自去那种地方，我就忍不住担忧你的安危。但我又与你一样好奇：他们真的和我们一样吗？无论是外表，还是内心？\n此次调查无疑是一项艰巨的任务，路途凶险，还请你务必保重。\n　　如果那里能收到来信，希望你能抽空报个平安。小玛莎和我一直期待着去廷根火车站接你回家的那天！\n　　愿女神庇佑你的归途平安无阻！	\n　　Thinking that you are going to such a place alone, I can't help but worry about your safety. But I am as curious as you: Are they really the same as us? Whether it's appearance or heart?\nThis investigation is undoubtedly a daunting task, and the journey is dangerous, so please take care.\n　　If you can receive letters there, I hope you can find time to report that you are safe. Little Martha and I are looking forward to the day we go to Tingen Train Station to pick you up!\n　　May the Goddess bless your return journey to be safe and smooth!
\n　　不用意外！我预先知道你会到这里，留下了这封信，其他人看不到。\n　　我赶稿实在抽不开身，麻烦帮我把这本新书带给塔罗会的“月亮”先生。书钱我已经付过了！\n　　“月亮”目前以大地母神教会执事的身份，在金秋湖调查“丰饶污染”事件。你们正好可以借此认识一下。\n　　对了，“月亮”先生是血族，请一定不要叫他“吸血鬼”——那很不礼貌！\n　　附一张他自己很满意的画像，方便你辨认。\n（字迹越来越潦草……似乎没时间写更多了。） 	\n　　Don't be surprised! I knew in advance that you would come here and left this letter, others can't see it.\n　　I'm too busy with my manuscript to get away, so please help me bring this new book to Mr. Moon of the Tarot Club. I have already paid for the book!\n　　\"Moon\" is currently investigating the \"Abundance Corruption\" incident at Golden Autumn Lake as a deacon of the Earth Mother Church. You can just happen to get to know each other.\n　　By the way, Mr. Moon is a Sanguine, please don't call him a \"vampire\"—that's very rude!\n　　Attached is a portrait he is very satisfied with, for your identification.\n(The handwriting is getting more and more illegible... seems like there is no time to write more.) 
\n　　为给诸位更体面的购物环境，本店将\n　　于即日起暂停营业六周，全店翻修。\n\n　✦  新增进口原木打造专柜\n　✦  全店换装吊灯\n　✦  扩建二楼贵宾厅\n\n　　重新开业日期暂未确定，详情请关注 《贝克兰德邮报》\n　　凭报纸当日到店可享九折优惠	\n　　To provide everyone with a more decent shopping environment, this shop will\n　　suspend business for six weeks starting today for a full renovation.\n\n　✦  Added counters made of imported logs\n　✦  Installed chandeliers throughout the shop\n　✦  Expanded the second-floor VIP lounge\n\n　　The reopening date has not yet been determined, for details please pay attention to the \"Backlund Post\"\n　　Present the newspaper on the day to enjoy a 90% Discount
\n　　又落榜了……已经数不清是第几次落榜了……\n\n　　或许我生来就不适合成为一名政府雇员，仔细经营好那个小肉摊、和一个美丽的妻子一起过日子才是我应该过的生活。\n\n　　她会为我洗衣服，我会为她炖肉，让她成为全廷根吃过最多肉的女人。\n\n　　真是美好的生活……我该振作起来，努力去找一个妻子了。	\n　　Failed the exam again... I have lost count of how many times I have failed...\n\n　　Perhaps I was not born to be a government employee. Carefully managing that small meat stall and living with a beautiful wife is the life I should be living.\n\n　　She will wash my clothes, I will stew meat for her, and let her become the woman who has eaten the most meat in all of Tingen.\n\n　　What a beautiful life... I should pull myself together and try hard to find a wife.
        也许在那之前，我——罗塞尔·古斯塔夫，因蒂斯的皇帝，终将归来。	        Perhaps before that, I—Roselle Gustav, the Emperor of Intis, will eventually return.
#CanMove不朽传奇#	#CanMoveImmortal Legend#
#CanMove你#	#CanMoveYou#
#CanMove修复#	#CanMoveRepair#
#CanMove窟窿#	#CanMoveHole#
#CanMove红色的#	#CanMoveRed#
#CanMove绳子#	#CanMoveRope#
#CanMove绿色的#	#CanMoveGreen#
#CanMove老人#	#CanMoveOldMan#
#CanMove老鼠#	#CanMoveMouse#
#CanMove船#	#CanMoveShip#
#CanMove苹果#	#CanMoveApple#
#CanMove荣耀#	#CanMoveGlory#
#CanMove蒸汽之子#	#CanMoveChildOfSteam#
#CanMove讨厌#	#CanMoveHate#
#CanMove财富#	#CanMoveWealth#
#CanMove资源#	#CanMoveResources#
#CanMove跳舞#	#CanMoveDance#
#CanMove释放#	#CanMoveRelease#
#CanMove金钱#	#CanMoveMoney#
#CanMove钥匙#	#CanMoveKey#
#CanMove问候#	#CanMoveGreeting#
#CanMove风车#	#CanMoveWindmill#
#CanMove驱赶#	#CanMoveDriveAway#
#CanMove魔女#	#CanMoveWitch#
#CanMove鸟窝#	#CanMoveBirdNest#
#CanMove黄色的#	#CanMoveYellow#
%.1f万	%.1f0,000
%.2f万	%.2f0,000
%d万	%d0,000
%d名	%dth
%d时%d分	%d:%d
%d（我）	%d (Me)
%s·高级染	%s - Advanced Dye
%s·（%s召唤）	%s·(%s Summon)
%s倍	%sx
%s年%s月%s日 %s:%s	%s/%s/%s %s:%s
%s年%s月%s日 %s时%s分	%s/%s/%s %s:%s
%s月%s日	%s/%s
%s第%s%s	%s %s %s
%s第%s名	%sRank %s
%s第%s大亨	%s %s Tycoon
%时	%
-数据表缺失	- Data Table Missing
......知识指引我至此。	......Knowledge has guided me here.
00级	Level 0
01-2_批量增加多种类道具	01-2_Batch Add Multiple Types of Items
01_增加道具	01_Add Item
01_开启音频性能分析	01_Start Audio Performance Analysis
02_消耗道具	02_Consume Item
02_结束音频性能分析	02_End Audio Performance Analysis
02任务交互物	02 Quest interaction object
06_伙伴出战/取消	06_Partner Deploy/Cancel
07_伙伴助战/取消	07_Partner Assist/Cancel
0: 三段跳落地;\n1: x 键落地	0: Triple jump landing; \n 1: x key landing
0:\"默认第一偏移点到目标的连线作为起始方向\",1:\"使用表格内部的偏移\",2:\"不使用偏移，目标朝向\"	0: \"Default to the line connecting the first offset point to the target as the starting direction\", 1: \"Use the offset inside the table\", 2: \"Do not use offset, use target orientation\"
0:\"默认第一偏移点到目标的连线作为起始方向\",1:\"使用表格内部的偏移\",2:\"不使用偏移，目标朝向\",3:\"子弹朝向仅取决于Action配置\"	0: \"Default to the line between the first offset point and the target as the starting direction\", 1: \"Use the offset inside the table\", 2: \"Do not use offset, use target orientation\", 3: \"Bullet orientation depends only on Action configuration\".
0:\"默认第一偏移点到目标的连线作为起始方向\",1:\"使用表格内部的偏移\",2:\"不使用偏移，目标朝向\"。	0: \"Default to the line connecting the first offset point to the target as the starting direction\", 1: \"Use the offset inside the table\", 2: \"Do not use offset, use target orientation\".
0:\"默认第一偏移点到目标的连线作为起始方向\",1:\"朝向使用表格内部的偏移\",2:\"不使用偏移，目标朝向\",3:\"子弹朝向仅取决于Action配置\",4:\"子弹起始朝向为 input_dir\"	0: \"Default to the line between the first offset point and the target as the starting direction\", 1: \"Use the offset inside the table\", 2: \"Do not use offset, use target orientation\", 3: \"Bullet orientation depends only on Action configuration\", 4: \"Bullet starting orientation is input_dir\".
0级是最高危险等级，它的能力和负面效果，甚至可以毁灭城市。	Grade 0 is the highest danger level; its abilities and negative effects can even destroy a city.
0表示不设置命中最小间隔	0 means no minimum hit interval is set.
0：推出当前抓取的文字版\n1：抓取选中的文字版	0: Push current grabbed text version \n 1: Grab selected text version
0：（缺省值）对Target里的每一个对象，都发射全部子弹\n1：（排队枪毙）从子弹List里逐个发射子弹，对象为Target列表里按顺序选取，直至Target耗尽，或者子弹耗尽\n2：（随机发放）从子弹List里逐个发射子弹，对象从Target列表里随机选取（可重复选取），直到子弹耗尽	0: (Default) Fire all bullets at every object in Target \n 1: (Queue execution) Fire bullets one by one from the bullet List, selecting objects from the Target list in order until the Target list is exhausted or bullets are exhausted \n 2: (Random distribution) Fire bullets one by one from the bullet List, selecting objects randomly from the Target list (can be selected repeatedly) until bullets are exhausted.
1 显示； 0 不显示	1: Show; 0: Hide.
1-开启, 0-关闭 开启后可以在PVP局内点击主界面最上方打开数据统计	1: Enable, 0: Disable; once enabled, you can click the top of the main interface in PVP to open data statistics.
1-显示, 0-隐藏	1: Show, 0: Hide.
1-显示, 0-隐藏；x1,y1 左上角坐标；x2,y2 右下角坐标;如1,100,100,1024,1024	1: Show, 0: Hide; x1, y1 top-left coordinates; x2, y2 bottom-right; e.g., 1, 100, 100, 1024, 1024.
1-流畅 2-标准 3-高清，音质越高延迟越高	1-Smooth, 2-Standard, 3-HD; higher audio quality results in higher latency.
1. <Highlight>默契值和等级：</>完成家族每周任务可获取默契值提升家族等级，每周默契值获取上限为<Highlight>2000点</>。\n2. <Highlight>每周任务：</>家族成员组队参与对应玩法可获得默契值。每个任务在当周前<Highlight>若干次</>完成可获得<Highlight>高倍默契值</>，超出高倍次数后只可获得普通默契值加成，任务<Highlight>每周刷新</>。	1. <Highlight> Rapport and Level: </> Complete weekly Family quests to gain Rapport and increase the Family level. The weekly Rapport acquisition cap is <Highlight> 2000 points </>. \n 2. <Highlight> Weekly Quests: </> Family members can form teams to participate in corresponding gameplay to earn Rapport. Completing each quest for the first <Highlight> several times </> in the current week grants <Highlight> high-multiplier Rapport </>. After exceeding the high-multiplier count, only standard Rapport bonuses can be obtained. Quests <Highlight> refresh weekly </>.
1. 在大世界范围中探索，解锁奉献之灵、收集奉献之灵或完成各类隐匿恩赐解谜，提升完成度；\n2. 完成度达到对应档位要求后，玩家可以领取该档位奖励；	1. Explore the open world, unlock Spirits of Devotion, collect them, or complete various Hidden Grace puzzles to increase your completion progress; \n 2. Once your completion progress reaches the required threshold, you can claim the corresponding rewards.
1. 在部分副本中，队伍人数没有组满时可发布求援\n2. 成功完成他人的求援帮助可获得一定的绑定苏勒奖励\n3. 应援失败也会获得少量绑定苏勒奖励	1. In some dungeons, if the team is not full, you can post a request for help. \n 2. Successfully helping others with their requests grants a certain amount of bound Gold Pounds. \n 3. Failing to provide support also grants a small amount of bound Gold Pounds.
1. 打开礼金的玩家需要语音输入正确的密文才可以领取礼金\n2. 领取绑金礼金的玩家会获得随机数额的绑金\n3. 领取外观馈赠的玩家会获得随机类型的外观道具	1. Players who open the gift need to input the correct ciphertext via voice to claim the gift. \n 2. Players who claim bound gold gifts will receive a random amount of bound gold. \n 3. Players who claim appearance gifts will receive a random type of appearance item.
1. 打开礼金的玩家需要输入正确的密码才可以领取礼金\n2. 领取绑金礼金的玩家会获得随机数额的绑金\n3. 领取外观馈赠的玩家会获得随机类型的外观道具	1. Players who open the gift need to input the correct password to claim the gift. \n 2. Players who claim bound gold gifts will receive a random amount of bound gold. \n 3. Players who claim appearance gifts will receive a random type of appearance item.
1. 最多可以选择4种不同类型的外观\n2. 外观馈赠的数量等于玩家放置的外观道具数量	1. You can choose up to 4 different types of appearances. \n 2. The number of appearance gifts is equal to the number of appearance items placed by the player.
