CN	EN
\t显示	Display
0秒之后可跳过	Skip available in 0 seconds
<DecH>工艺：</>鎏金织缀・翡翠豪镶\n灿金光芒交织翡翠清辉，光影浮动，吟咏着一首无声的颂歌。	<DecH> Craft: </> Gilded Weaving - Emerald Luxury Inlay \n The bright golden light intertwines with the clear brilliance of emerald, light and shadow floating, chanting a silent hymn.
<DecH>工艺：</>鎏金织缀・翡翠豪镶・金缕礼裙\n 灿金光芒交织翡翠清辉，光影浮动，吟咏着一首无声的颂歌。	<DecH> Craft: </> Gilded Weaving - Emerald Luxury Inlay - Golden Thread Gown \n The bright golden light intertwines with the clear brilliance of emerald, light and shadow floating, chanting a silent hymn.
<Highlight>工艺：</>鎏金织缀・翡翠豪镶\n灿金光芒交织翡翠清辉，光影浮动，吟咏着一首无声的颂歌。	<Highlight>Craftsmanship: </>Gilded Weaving & Emerald Inlay\nThe brilliant golden light interweaves with the clear radiance of emeralds, light and shadow floating, chanting a silent hymn.
<P_Heart>(Spreads hands)</> So, we are of the same generation. She should also call you {{叔叔|姨姨}}.	<P_Heart>(Spreads hands)</> So, we are of the same generation. She should also call you {{Uncle|Aunt}}.
<P_Heart>头有点晕晕的…….</>	<P_Heart>My head feels a bit dizzy...</>
<P_Heart>（愚者先生究竟是哪一位，这样威严又和善的存在……）</>	<P_Heart>(Who exactly is Mr. Fool, such a majestic and kind existence...)</>
<P_Heart>（这个警察好像是刚刚那个醉汉）</>	<P_Heart>(This policeman seems to be the drunkard from earlier.)</>
Ah... {{先生|女士}}, how did you know I wanted to go so much?	Ah... {{sir|madam}}, how did you know I wanted to go so much?
Bloom辉光	Bloom
GVG团招	GVG Group Summon
Hey! {{先生|女士}}, I have, I have other poems!	Hey! {{sir|madam}}, I have, I have other poems!
I think this {{先生|女士}}'s sense of style isn't bad. If you are considering joining the Tingen Fashion Association...	I think this {{sir|madam}}'s sense of style isn't bad. If you are considering joining the Tingen Fashion Association...
Isn't there still {{他|她}}?	Isn't there still {{him|her}}?
Let {{他|她}} in.	Let {{him|her}} in.
